gene_id,Exp_2_3,Neg_1_2
CELE_Y74C9A.6|Y74C9A.6,4,4
CELE_Y74C9A.3|homt-1,1755,1485
CELE_Y74C9A.2|nlp-40,8827,6685
CELE_Y74C9A.7|21ur-15479,0,0
CELE_Y74C9A.8|21ur-13439,0,0
CELE_Y74C9A.5|sesn-1,1383,1394
CELE_Y74C9A.4|rcor-1,4411,4386
CELE_Y74C9A.9|Y74C9A.9,130,82
CELE_Y48G1C.5|Y48G1C.5,76,0
CELE_Y48G1C.12|Y48G1C.12,1917,1716
CELE_Y48G1C.4|pgs-1,1773,1632
CELE_Y48G1C.2|csk-1,4122,3773
CELE_Y48G1C.10|mtm-10,2256,2313
CELE_Y48G1C.6|Y48G1C.6,234,179
CELE_Y48G1C.9|natc-3,861,807
CELE_Y48G1C.1|pid-2,1597,1617
CELE_Y48G1C.13|Y48G1C.13,481,330
CELE_Y48G1C.8|Y48G1C.8,9922,10851
CELE_F53G12.7|col-45,114,0
CELE_F53G12.6|spe-8,42,0
CELE_F53G12.15|F53G12.15,0,0
CELE_F53G12.17|F53G12.17,0,0
CELE_F53G12.12|F53G12.12,0,0
CELE_F53G12.1|rab-11.1,27466,25176
CELE_F53G12.10|rpl-7,110517,105973
CELE_F53G12.9|F53G12.9,74,44
CELE_F53G12.8|F53G12.8,59,14
CELE_F53G12.3|duox-2,0,0
CELE_F53G12.18|F53G12.18,0,0
CELE_F56C11.1|bli-3,1777,1363
CELE_F56C11.2|ptr-11,494,346
CELE_F56C11.6|cest-27,566,631
CELE_F53G12.5|mex-3,27035,26548
CELE_F53G12.4|F53G12.4,62,64
CELE_F56C11.5|F56C11.5,1373,1293
CELE_F56C11.3|F56C11.3,447,426
CELE_Y48G1BL.2|atm-1,3287,3188
CELE_Y48G1BL.5|Y48G1BL.5,371,326
CELE_Y48G1BM.6|Y48G1BM.6,128,141
CELE_Y48G1BL.7|Y48G1BL.7,27,0
CELE_Y48G1BL.3|puf-10,3368,3532
CELE_Y48G1BL.1|snpc-3.3,108,114
CELE_Y48G1BL.8|Y48G1BL.8,18,25
CELE_Y48G1BM.8|Y48G1BM.8,75,84
CELE_Y48G1BM.1|snpc-3.2,259,243
CELE_Y48G1BR.1|Y48G1BR.1,665,463
CELE_C53D5.2|marc-4,250,180
CELE_C53D5.4|ztf-3,882,785
CELE_C53D5.1|C53D5.1,1551,1388
CELE_C53D5.5|C53D5.5,1165,1036
CELE_C53D5.6|imb-3,26619,25877
CELE_Y48G1A.7|Y48G1A.7,129,129
CELE_Y48G1A.5|xpo-2,13550,12133
CELE_Y48G1A.4|nol-14,2181,2537
CELE_Y48G1A.3|daf-25,1603,1326
CELE_Y48G1A.6|mbtr-1,1484,1569
CELE_Y48G1A.2|Y48G1A.2,2539,2172
CELE_Y48G1A.1|Y48G1A.1,788,774
CELE_R119.1|R119.1,971,1114
CELE_R119.6|taf-4,2487,2530
CELE_R119.5|R119.5,651,703
CELE_Y50C1A.1|otub-2,2772,2760
CELE_Y50C1A.2|Y50C1A.2,37,0
CELE_C07F11.1|tol-1,4212,4705
CELE_R119.7|rnp-8,7145,6933
CELE_R119.2|icpp-55,1546,1386
CELE_R119.3|R119.3,2006,2149
CELE_R119.4|pqn-59,46425,54567
CELE_W04C9.8|W04C9.8,47,32
CELE_W04C9.7|21ur-8411,0,0
CELE_W04C9.4|W04C9.4,1526,1666
CELE_W04C9.5|W04C9.5,20,21
CELE_W04C9.9|W04C9.9,0,0
CELE_W04C9.3|cutl-13,147,67
CELE_W04C9.6|W04C9.6,69,70
CELE_Y65B4BL.6|Y65B4BL.6,68,16
CELE_Y65B4BL.1|Y65B4BL.1,524,450
CELE_Y65B4BM.3|dbd-1,1146,874
CELE_Y65B4BR.8|psf-3,1884,1906
CELE_Y65B4BL.10|Y65B4BL.10,0,0
CELE_Y65B4BL.9|Y65B4BL.9,0,0
CELE_W04C9.2|W04C9.2,2347,2261
CELE_W04C9.1|haf-4,2022,1584
CELE_Y65B4BL.3|Y65B4BL.3,815,790
CELE_Y65B4BL.4|Y65B4BL.4,1405,1706
CELE_Y65B4BL.2|deps-1,11386,11972
CELE_Y65B4BL.7|Y65B4BL.7,50,55
CELE_Y65B4BL.5|acs-13,37137,33513
CELE_Y65B4BR.5|icd-2,27392,25973
CELE_Y65B4BR.12|Y65B4BR.12,0,0
CELE_Y65B4BR.4|wwp-1,15559,14821
CELE_Y65B4BR.2|lpr-1,159,90
CELE_Y65B4BR.11|Y65B4BR.11,0,0
CELE_Y65B4BR.3|ptr-21,4203,3454
CELE_F56A6.5|F56A6.5,0,0
CELE_Y65B4BR.1|Y65B4BR.1,4609,5723
CELE_Y65B4BR.6|grl-16,2798,753
CELE_F56A6.2|hum-7,819,285
CELE_Y65B4A.9|Y65B4A.9,34,22
CELE_Y18H1A.14|gtnt-50,0,0
CELE_Y18H1A.11|Y18H1A.11,266,86
CELE_Y18H1A.10|hasp-2,30,0
CELE_Y18H1A.1|ptp-5.3,26,0
CELE_Y65B4A.2|Y65B4A.2,294,274
CELE_Y65B4A.7|Y65B4A.7,13,9
CELE_Y65B4A.1|cus-2,3158,3012
CELE_Y65B4A.8|Y65B4A.8,1466,1224
CELE_F56A6.4|eme-1,2208,2233
CELE_F56A6.1|sago-2,3139,2565
CELE_Y65B4A.4|Y65B4A.4,39,0
CELE_Y65B4A.6|eif-4A3,5661,5088
CELE_Y65B4A.3|vps-20,2557,2278
CELE_Y18H1A.4|Y18H1A.4,1169,1154
CELE_Y18H1A.2|Y18H1A.2,1446,1292
CELE_T06A4.2|mps-3,19,0
CELE_Y18H1A.18|Y18H1A.18,0,6
CELE_Y18H1A.17|Y18H1A.17,0,0
CELE_Y18H1A.12|col-47,0,0
CELE_Y18H1A.T1|Y18H1A.t1,0,0
CELE_Y18H1A.8|Y18H1A.8,0,0
CELE_Y18H1A.13|col-46,60,0
CELE_Y18H1A.9|Y18H1A.9,206,89
CELE_Y18H1A.16|Y18H1A.16,2,0
CELE_T06A4.3|T06A4.3,198,108
CELE_T06A4.4|T06A4.4,0,0
CELE_T06A4.1|T06A4.1,118,45
CELE_T06A4.5|T06A4.5,5,0
CELE_ZC123.T1|ZC123.t1,0,0
CELE_ZC123.8|ZC123.8,0,0
CELE_ZC123.10|ZC123.10,0,0
CELE_ZC123.11|ZC123.11,0,0
CELE_ZC123.7|ZC123.7,0,0
CELE_ZC123.5|ZC123.5,0,0
CELE_ZC123.9|ZC123.9,0,0
CELE_ZC123.3|zfh-2,1634,1393
CELE_ZC123.6|ZC123.6,2,2
CELE_Y18H1A.7|rec-1,640,562
CELE_Y18H1A.3|hgap-1,4526,3832
CELE_Y18H1A.6|pif-1,2552,2570
CELE_Y95B8A.17|Y95B8A.17,0,0
CELE_ZC123.1|ZC123.1,584,295
CELE_ZC123.4|cdk-14,288,250
CELE_Y95B8A.8|zfr-1,6561,6073
CELE_Y95B8A.10|pde-6,1720,1214
CELE_Y95B8A.6|Y95B8A.6,669,706
CELE_Y95B8A.11|him-19,657,838
CELE_Y95B8A.12|prhg-1,92,0
CELE_Y95B8A.16|Y95B8A.16,0,0
CELE_Y95B8A.15|Y95B8A.15,0,0
CELE_Y95B8A.14|Y95B8A.14,0,0
CELE_Y95B8A.13|Y95B8A.13,0,0
CELE_Y95B8A.T1|Y95B8A.t1,0,0
CELE_Y95B8A.1|nas-30,253,47
CELE_Y95B8A.18|Y95B8A.18,0,0
CELE_Y95B8A.5|gpa-16,3136,2981
CELE_Y95B8A.4|Y95B8A.4,44,32
CELE_Y34D9B.1|mig-1,854,759
CELE_C54G6.6|C54G6.6,0,0
CELE_C54G6.7|C54G6.7,0,0
CELE_F54A5.1|hmbx-1,712,629
CELE_F54A5.3|shc-1,563,599
CELE_F54A5.2|cutl-20,353,228
CELE_C54G6.1|madf-6,830,808
CELE_C54G6.8|C54G6.8,0,0
CELE_C54G6.5|spp-17,3323,4246
CELE_Y34D9A.11|spp-23,1236,930
CELE_Y34D9A.1|mrpl-38,3399,3268
CELE_Y34D9A.4|spd-1,4634,4490
CELE_Y34D9A.3|Y34D9A.3,2037,1941
CELE_R06A10.2|gsa-1,850,665
CELE_ZK993.2|ZK993.2,0,0
CELE_ZK993.1|ceh-45,122,82
CELE_R06A10.5|R06A10.5,10,0
CELE_R06A10.6|21ur-15525,0,0
CELE_R06A10.1|R06A10.1,60,49
CELE_R06A10.4|R06A10.4,372,348
CELE_Y34D9A.7|Y34D9A.7,2079,1577
CELE_Y34D9A.6|glrx-10,1890,1303
CELE_Y34D9A.8|Y34D9A.8,262,209
CELE_Y34D9A.10|vps-4,5568,5405
CELE_Y34D9A.2|npr-23,41,63
CELE_Y48G8AL.10|znf-236,2337,2751
CELE_Y48G8AL.14|aps-3,2510,2431
CELE_Y48G8AL.8|rpl-17,52438,47506
CELE_Y48G8AL.7|Y48G8AL.7,324,394
CELE_Y48G8AL.11|haf-6,1325,1325
CELE_Y48G8AL.20|Y48G8AL.20,0,0
CELE_Y48G8AL.6|smg-2,6294,6490
CELE_Y92H12BL.5|Y92H12BL.5,837,764
CELE_Y48G8AL.19|Y48G8AL.19,0,0
CELE_Y48G8AR.7|Y48G8AR.7,0,0
CELE_Y48G8AR.6|Y48G8AR.6,0,0
CELE_Y48G8AR.5|Y48G8AR.5,0,0
CELE_Y48G8AR.4|Y48G8AR.4,0,0
CELE_Y48G8AR.3|Y48G8AR.3,0,0
CELE_K12C11.8|K12C11.8,0,0
CELE_K12C11.5|K12C11.5,0,0
CELE_Y48G8AL.5|nsun-2,7088,7212
CELE_Y48G8AL.1|herc-1,4907,4907
CELE_Y48G8AL.16|Y48G8AL.16,35,6
CELE_Y48G8AL.12|Y48G8AL.12,491,131
CELE_Y48G8AL.13|Y48G8AL.13,3995,5181
CELE_Y48G8AL.15|Y48G8AL.15,375,395
CELE_Y48G8AR.1|grh-1,809,473
CELE_Y48G8AR.8|Y48G8AR.8,4,0
CELE_Y48G8AR.2|Y48G8AR.2,26,42
CELE_K12C11.4|dapk-1,2157,1722
CELE_K12C11.3|K12C11.3,120,102
CELE_K12C11.6|K12C11.6,265,273
CELE_K12C11.7|K12C11.7,153,149
CELE_K12C11.2|smo-1,11895,10620
CELE_K12C11.1|K12C11.1,5324,4360
CELE_Y92H12BL.1|Y92H12BL.1,1587,1670
CELE_Y92H12BR.4|Y92H12BR.4,114,150
CELE_Y92H12BR.8|mrpl-15,1721,1801
CELE_F37F2.2|F37F2.2,903,679
CELE_F47G6.6|F47G6.6,0,0
CELE_F47G6.T1|F47G6.t1,0,0
CELE_F47G6.4|spe-15,642,409
CELE_F37F2.3|gst-25,10,12
CELE_F47G6.2|acs-16,313,278
CELE_Y92H12BL.7|gapr-1,176,193
CELE_Y92H12BL.4|Y92H12BL.4,251,267
CELE_Y92H12BM.1|Y92H12BM.1,268,244
CELE_Y92H12BR.7|Y92H12BR.7,1725,1433
CELE_Y92H12BR.6|set-29,1060,996
CELE_Y92H12BR.2|Y92H12BR.2,1625,1474
CELE_Y92H12BR.3|Y92H12BR.3,13422,13633
CELE_F47G6.5|21ur-13232,0,0
CELE_F47G6.1|dyb-1,308,395
CELE_Y92H12A.5|Y92H12A.5,3977,4094
