# Program:featureCounts v2.0.8; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-s" "2" "-p" "-T" "1" "-a" "raw_data/references/GCF_000002985.6_WBcel235_clean.gtf" "-o" "results/expression/featurecounts/Neg_1_2_gene_counts.tsv" "results/alignment/star/Neg_1_2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/star/Neg_1_2_Aligned.sortedByCoord.out.bam
CELE_Y74C9A.6	NC_003279.8	3747	3909	-	163	4
CELE_Y74C9A.3	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	4116;5195;6037;9727;10095	4358;5296;6327;9846;10230	-;-;-;-;-	892	985
CELE_Y74C9A.2	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	11495;11618;14951;15103;16473;16473	11561;11689;15160;15160;16837;16585	+;+;+;+;+;+	714	4487
CELE_Y74C9A.4	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	17484;17487;17911;17911;18006;18006;18006;18006;19015;19015;19015;19015;20271;20271;20271;20271;20848;20848;20848;20848;21013;21013;21013;21013;24651;24651;24651;24929;24929;24929;25273;25273;25273;26371;26371;26371;26590;26590;26590;26733;26733	17958;17958;17958;17958;18115;18115;18115;18115;19241;19241;19241;19241;20478;20478;20478;20478;20964;20964;20964;20964;21139;21127;21139;21139;24845;24845;24845;25090;25090;25090;25472;25472;25472;26524;26524;26524;26643;26690;26681;26781;26781	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2125	2901
CELE_Y74C9A.9	NC_003279.8	22882	23600	-	719	66
CELE_Y74C9A.5	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	27591;29100;29769;31769;32412	28405;29367;30424;32072;32548	-;-;-;-;-	2180	895
CELE_Y74C9A.7	NC_003279.8	31523	31543	+	21	0
CELE_Y74C9A.8	NC_003279.8	32415	32435	+	21	0
CELE_Y74C9A.1	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	43733;44030;44281;44372;44521	43961;44234;44324;44468;44677	+;+;+;+;+	732	8
CELE_Y48G1C.12	NC_003279.8;NC_003279.8;NC_003279.8;NC_003279.8	47461;47696;48348;49251	47610;47858;48530;49860	+;+;+;+	1106	1125
